Quantity,Count,"ø ("")","Wall ("")",Grade,Manufacturer,Heat,Length (mm),M in stock,$/M PO,$/M cost,$/M sell price,$/FT sell price (ref. only),,price date,Total value,PO,Coating,tested to (D),Yard,Rack,Date last counted,Offcut from,Notes
1,1,3,.125,Gr359 Cat2 (-45°c) sour,Evraz,546618,3470,3.5,27.00,61.64,74.00,22.56,,Oct 27/23,214,10275,Bare,20D-N Gr359 CSA-2022,Yard 2,,Jul 22/25,846-25,
1,1,3,.156,Gr359 Cat2 (-45°c) sour,Tenaris,117793,3090,3.1,27.00,41.12,49.25,15.01,,,127,4871,Bare,20D-N Gr359 CSA-2022,Yard 2,2G,Aug 7/25,412-25,
1,1,3,.156,Gr359 Cat2 (-45°c) sour,Tenaris,117793,6530,6.5,27.00,41.12,49.25,15.01,,,269,4871,Bare,20D-N Gr359 CSA-2022,Yard 2,14,Sep 24/25,,
1,1,3,.156,Gr359 Cat2 (-45°c) sour,Tenaris,125706,7220,7.2,15.85,41.12,49.25,15.01,,,297,6633,Bare,20D-N Gr359 CSA-2017 90º,Yard 1,23,Apr 10/25,,Suitable for CSA-2022 testing
1,1,3,.156,Gr359 Cat2 (-45°c) sour,Tenaris,125706,7560,7.6,15.85,41.12,49.25,15.01,,,311,6633,Bare,20D-N Gr359 CSA-2017 90º,Yard 1,23,Apr 10/25,,Suitable for CSA-2022 testing
1,1,3,.156,Gr359 Cat2 (-45°c) sour,Tenaris,125706,8400,8.4,15.85,41.12,49.25,15.01,,,345,6633,Bare,20D-N Gr359 CSA-2017 90º,Yard 1,9,Apr 10/25,,Suitable for CSA-2022 testing
1,1,3,.188,Gr359 Cat2 (-45°c) sour,Tenaris,115080,6520,6.5,37.75,61.42,73.75,22.48,,,400,4690,Bare,15D-N Gr359 CSA-2022,Yard 2,14,Sep 25/25,63-25,
1,1,3,.188,Gr359 Cat2 (-45°c) sour,Tenaris,115080,9310,9.3,37.75,61.42,73.75,22.48,,,572,4690,Bare,15D-N Gr359 CSA-2022,Yard 2,,Jul 23/25,978-25,
1,1,3,.188,Gr359 Cat2 (-45°c) sour,Tenaris,115080,18700,18.7,37.75,61.42,73.75,22.48,,,"1,149",4690,Bare,15D-N Gr359 CSA-2022,Yard 2,20,Sep 24/25,,
1,1,3,.188,Gr359 Cat2 (-45°c) sour,Tenaris,115080,19550,19.6,37.75,61.42,73.75,22.48,,,"1,201",4690,Bare,15D-N Gr359 CSA-2022,Yard 2,18,Sep 24/25,,
